Repository Name,Total Closed Issues,Issue Number,Issue Title,Issue Status,Assignees,Labels,Issue Created At,Issue Closed At,Closed By
ChicoState/GroceryPals,0,1,"A family is looking for soda for a birthday party, and wants to check and see if the store has the soda in stock.",To do,None,None,28-09-2020 15:10,None,None
ChicoState/GroceryPals,0,1,"A family is looking for soda for a birthday party, and wants to check and see if the store has the soda in stock.",In progress,None,None,28-09-2020 15:10,None,None
ChicoState/GroceryPals,0,3,A shopper wants to create a list of items they need from the grocery store,In progress,mnguyen1996,None,05-10-2020 15:06,None,None
ChicoState/GroceryPals,0,4,A students wants to see the closest stores from their location,In progress,Mscheer75,None,05-10-2020 15:06,None,None
ChicoState/GroceryPals,0,4,A students wants to see the closest stores from their location,To do,Mscheer75,None,05-10-2020 15:06,None,None
ChicoState/GroceryPals,0,3,A shopper wants to create a list of items they need from the grocery store,To do,mnguyen1996,None,05-10-2020 15:06,None,None
ChicoState/GroceryPals,0,1,"A family is looking for soda for a birthday party, and wants to check and see if the store has the soda in stock.",To do,None,None,28-09-2020 15:10,None,None
ChicoState/Gruvest,0,32,Pitcher Advice,Done,blueweaver,None,05-11-2020 14:47,07-12-2020 14:06,blueweaver
ChicoState/Gruvest,0,31,Subscriptions,Done,"blueweaver,jhowell1",None,05-11-2020 14:42,11-12-2020 13:38,blueweaver
ChicoState/Gruvest,0,28,Subscription Button,Done,blueweaver,None,20-10-2020 21:03,07-12-2020 14:05,blueweaver
ChicoState/Gruvest,0,27,Create Login and Registration Pages,Done,blueweaver,None,20-10-2020 21:01,02-11-2020 12:04,blueweaver
ChicoState/Gruvest,0,20,Funds view/Subscription display,Done,blueweaver,None,13-10-2020 10:15,07-12-2020 14:05,blueweaver
ChicoState/Gruvest,0,19,Pitches Detail View,Done,jhowell1,None,13-10-2020 10:04,14-10-2020 12:18,jhowell1
ChicoState/Gruvest,0,15,UI Design,Done,"blueweaver,0hana,jhowell1",None,05-10-2020 14:57,17-10-2020 22:37,blueweaver
ChicoState/Gruvest,0,14,Pitches Page,Done,"blueweaver,jhowell1",None,05-10-2020 14:52,12-10-2020 15:28,jhowell1
ChicoState/Gruvest,0,5,user page,Done,0hana,None,20-09-2020 20:09,11-12-2020 13:38,blueweaver
ChicoState/Gruvest,0,4,Add comment system,Done,"blueweaver,jhowell1",None,20-09-2020 20:09,05-10-2020 12:13,jhowell1
ChicoState/Gruvest,0,3,Add an upvote and downvote system,Done,"blueweaver,jhowell1",None,20-09-2020 20:05,05-10-2020 12:10,jhowell1
ChicoState/Gruvest,0,1,Discussion with other users ,Done,blueweaver,None,20-09-2020 19:59,30-09-2020 12:46,blueweaver
ChicoState/Gruvest,0,3,Add an upvote and downvote system,To do,"blueweaver,jhowell1",None,20-09-2020 20:05,None,None
ChicoState/Gruvest,0,3,Add an upvote and downvote system,In progress,"blueweaver,jhowell1",None,20-09-2020 20:05,None,None
ChicoState/Gruvest,0,1,Discussion with other users ,To do,blueweaver,None,20-09-2020 19:59,None,None
ChicoState/Gruvest,0,4,Add comment system,To do,"blueweaver,jhowell1",None,20-09-2020 20:09,None,None
ChicoState/Gruvest,0,3,Add an upvote and downvote system,To do,"blueweaver,jhowell1",None,20-09-2020 20:05,None,None
ChicoState/HappyHouseplants,0,149,Profile page: Create buttons to change name and profile,In Progress: Technical,maklh899,None,08-12-2020 00:32,None,None
ChicoState/HappyHouseplants,0,148,make the login and reg screens beautiful,In Progress: Technical,Neodusk,None,07-12-2020 21:58,None,None
ChicoState/HappyHouseplants,0,47,Hook tips into database and retrieve tips randomly per day,In progress: User Stories,Cessna210,None,05-10-2020 15:30,None,None
ChicoState/HappyHouseplants,0,145,"As a plant owner as well as a pet owner, I would like to know which plants are potentially dangerous or poisonous to have around my pets (2)",In progress: User Stories,iramosromero,None,07-12-2020 15:35,None,None
ChicoState/HappyHouseplants,0,144,"As a user, I would like to take multiple pictures of the same plant and easily access those photos in one place so I can see the growing progress of the plant.",In progress: User Stories,Cessna210,None,07-12-2020 15:34,None,None
ChicoState/HappyHouseplants,0,143,make notes on the calendar appear in order,To do: Technical,None,None,07-12-2020 15:31,None,None
ChicoState/HappyHouseplants,0,142,Expand Search Bar and Card Items of Search screen,In Progress: Technical,myothra7777,Lowest Difficulty,07-12-2020 15:28,None,None
ChicoState/HappyHouseplants,0,8,scrape the internet for tips on plant owning,In Progress: Technical,"Cessna210,iramosromero",None,21-09-2020 16:04,None,None
ChicoState/LifesLibrary,0,11,"As a user, I would appreciate a theme that helps me keep my focus on the app.",Done,None,None,05-10-2020 12:30,07-11-2020 11:02,myothra7777
ChicoState/LifesLibrary,0,8,"As a user in a hurry, I want an app that immediately loads a useful Gallery view of my Collection, so I can see what I have at a glance.",Done,None,None,28-09-2020 12:53,07-11-2020 11:03,None
ChicoState/LifesLibrary,0,1,"""As someone with a highly technical job, most of my 'spare' reading time is devoted to learning new work-related skills. I need a better way to keep track of the books that interest me, so I can quickly and easily access the list the rare times I'm free to enjoy a good book.""",Done,briswells,None,20-09-2020 15:25,07-10-2020 18:49,None
ChicoState/HappyHouseplants,0,11,Initialize npm (setup package.json),To do,Neodusk,Lowest Difficulty,23-09-2020 11:49,None,None
ChicoState/HappyHouseplants,0,9,Create a calendar,To do,"myothra7777,maklh899",None,21-09-2020 16:10,None,None
ChicoState/HappyHouseplants,0,8,scrape the internet for tips on plant owning,To do,"Cessna210,iramosromero",None,21-09-2020 16:04,None,None
ChicoState/HappyHouseplants,0,7,setup docker container for MongoDB,To do,Neodusk,Lowest Difficulty,21-09-2020 16:02,None,None
ChicoState/HappyHouseplants,0,6,setup MongoDB collection schemas,To do,Neodusk,Lowest Difficulty,21-09-2020 16:02,None,None
ChicoState/HappyHouseplants,0,5,Create profile plant and landing page,To do,"Cessna210,maklh899",None,21-09-2020 15:59,None,None
ChicoState/HappyHouseplants,0,4,"As a plant grower, I would like to have a calendar to keep track of when I plant seeds so I know when they will reach maturity and how I should take care of them at different stages of their life",To do,Neodusk,None,19-09-2020 11:07,None,None
ChicoState/HappyHouseplants,0,3,"As a user, I would like all of my data to persist across my devices - database",To do,"myothra7777,Neodusk,Cessna210",None,19-09-2020 11:06,None,None
ChicoState/HappyHouseplants,0,2,"As a beginner to plant owning, I would like to receive tips in order to avoid common mistakes.",To do,"Cessna210,iramosromero",Lowest Difficulty,19-09-2020 11:06,None,None
ChicoState/HappyHouseplants,0,1,"As an app user, I would like to have an intuitive UI experience",To do,"maklh899,iramosromero",None,19-09-2020 11:06,None,None
ChicoState/MoneyPool,0,23,"As a general user, I want to see the pricing of a certain suggestion. [1]",Done,kcrisci94,None,30-11-2020 18:32,04-12-2020 16:54,ChaseMay
ChicoState/MoneyPool,0,22,"As a general user, I want a way to see the realtime estimation of my personal cost of a trip before and after I join a trip [2]",Done,"ChaseMay,kcrisci94",None,16-11-2020 12:45,04-12-2020 16:54,ChaseMay
ChicoState/MoneyPool,0,21,"As a general user, I want a way to invite specific people on a trip and hide the trip from others who were not invited [2].",Done,kcrisci94,None,04-11-2020 09:01,04-12-2020 16:54,ChaseMay
ChicoState/MoneyPool,0,20,"As a general user, I would like to be able to access a specific trip to be able to see the detailed elements of the trip. [1]",Done,jacobGildea33,None,12-10-2020 13:27,04-12-2020 16:54,ChaseMay
ChicoState/MoneyPool,0,19,"As a user, I want to be able to navigate among different trips and view profiles. [1]",Done,ChaseMay,None,05-10-2020 12:23,04-11-2020 09:16,kcrisci94
ChicoState/MoneyPool,0,18,As a user I want to be able to create a detailed trip proposal to start planning my trip. [1],Done,"kcrisci94,jacobGildea33",None,05-10-2020 12:22,05-10-2020 13:57,jacobGildea33
ChicoState/MoneyPool,0,17,"As a user, I would like to register an account with MoneyPool. [1]",Done,kcrisci94,None,28-09-2020 12:33,05-10-2020 13:57,jacobGildea33
ChicoState/MoneyPool,0,16,"As a user, I would like to sign in and register my own account. [1]",Done,kcrisci94,None,28-09-2020 12:31,05-10-2020 13:57,jacobGildea33
ChicoState/MoneyPool,0,15,As a user I would like to be able to make a profile to classify myself within this program.,Done,None,None,21-09-2020 12:50,04-11-2020 09:18,kcrisci94
ChicoState/MoneyPool,0,14,"As a customer, I want a way to see trips that have been suggested by other people [2].",Done,None,None,21-09-2020 12:44,04-11-2020 09:19,kcrisci94
ChicoState/MoneyPool,0,13,"As a general user, I want a way to find friends on the app in order to invite them to a trip. I also want to save these friends as contacts [2]",Done,kcrisci94,None,21-09-2020 12:24,04-11-2020 09:16,kcrisci94
ChicoState/MoneyPool,0,11,"As a general user, I want a way to see upcoming public events posted by other people [2].",Done,"kcrisci94,jacobGildea33",None,21-09-2020 12:23,04-11-2020 09:16,kcrisci94
ChicoState/MoneyPool,0,10,"As a general user, I want a way to see upcoming events that I’ve decided to participate in, in order to keep track of them. [1]",Done,kcrisci94,None,21-09-2020 12:23,04-12-2020 16:54,ChaseMay
ChicoState/MoneyPool,0,9,"As a general user, I want a way to see who else is going on this trip. [1]",Done,kcrisci94,None,21-09-2020 12:23,04-12-2020 16:54,ChaseMay
ChicoState/MoneyPool,0,6,"As a customer, I want a way to suggest things that might be needed or useful on the trip (so others may choose to bring them). [2]",Done,"ChaseMay,kcrisci94",None,21-09-2020 12:23,04-12-2020 16:54,ChaseMay
ChicoState/MoneyPool,0,4,"As a general user, I want a way to vote on certain amenities, such as hotels to stay at, etc. [3]",Done,ChaseMay,None,21-09-2020 12:22,04-11-2020 09:16,kcrisci94
ChicoState/MoneyPool,0,3,"As a general user, I want a way to categorize the sections of our trip such as food, hotels, travel in order to accurately plan the trip [2]",Done,jacobGildea33,None,21-09-2020 12:22,04-12-2020 16:54,ChaseMay
ChicoState/MoneyPool,0,5,"As the proposer of a trip, I want a way to divy up who is bringing what for the trip, and add/remove items from this list. [3]",To do,None,None,21-09-2020 12:23,None,None
ChicoState/MoneyPool,0,2,As a customer I would like to be able to add a new sections or amenities to the trip or event so I can expand the trip as needed [2],To do,None,None,21-09-2020 12:22,None,None
ChicoState/MoneyPool,0,10,"As a general user, I want a way to see upcoming events that I’ve decided to participate in, in order to keep track of them. [1]",To do,kcrisci94,None,21-09-2020 12:23,None,None
ChicoState/MoneyPool,0,9,"As a general user, I want a way to see who else is going on this trip. [1]",To do,kcrisci94,None,21-09-2020 12:23,None,None
ChicoState/MoneyPool,0,11,"As a general user, I want a way to see upcoming public events posted by other people [2].",In progress,"kcrisci94,jacobGildea33",None,21-09-2020 12:23,None,None
ChicoState/MoneyPool,0,13,"As a general user, I want a way to find friends on the app in order to invite them to a trip. I also want to save these friends as contacts [2]",In progress,kcrisci94,None,21-09-2020 12:24,None,None
